,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type
90,49860339,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20205.73,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
91,51016022,Rawalpindi,1.0,2.0,3.0,0.0,1.0,2.0,7.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,13498.62,Bahria Town Phase 6,Punjab,Bahria Town Rawalpindi,Houses
92,50932043,Rawalpindi,,1.0,3.0,0.0,1.0,0.0,11.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,21854.91,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
93,50932062,Rawalpindi,,,,,,,11.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,21671.26,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
94,50274631,Rawalpindi,,9.0,10.0,1.0,3.0,1.0,7.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,13774.1,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
95,51539057,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,3.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2968.0,10950.13,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
96,51979652,Rawalpindi,3.0,8.0,9.0,2.0,3.0,1.0,6.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,11937.56,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
97,51979780,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,5.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4356.0,13200.18,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
98,51989142,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2722.0,13776.63,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi,Houses
99,51991047,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15613.52,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
100,51532223,Rawalpindi,2.0,4.0,5.0,1.0,2.0,1.0,1.9, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,13960.32,Airport Housing Society ,Punjab,Airport Housing Society,Houses
101,51615446,Rawalpindi,,5.0,6.0,1.0,0.0,0.0,2.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,12329.49,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
102,51996589,Rawalpindi,2.0,3.0,4.0,1.0,1.0,1.0,1.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,11756.06,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
103,52101279,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,3.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,17838.41,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
104,51162053,Rawalpindi,1.0,2.0,3.0,1.0,1.0,1.0,1.05, For Sale,"Islamabad Highway, Rawalpindi, Punjab, ",Undefined,1361.0,7714.92,Wakeel Colony,Punjab,Islamabad Highway,Houses
105,51987605,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,5.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,18919.91,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
106,51978028,,,1.0,1.0,0.0,1.0,0.0,0.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,871.0,10907.0,Bahria Town ,Punjab,Bahria Town Rawalpindi,
107,51666735,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,3.65, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Old Property,2722.0,13409.26,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
108,51666161,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,4.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,4356.0,9182.74,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
109,51641865,Rawalpindi,,4.0,5.0,0.0,1.0,0.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,12490.82,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
110,50825035,Rawalpindi,,7.0,8.0,0.0,2.0,0.0,6.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4900.0,13469.39,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
