,House Number,City,Name,sub_name,description,House Type,Year,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Area,Purpose,Location,Age Possession
20,51951254,Rawalpindi,5Marla Beautiful Double Story House For Sale At Adiala Road,"Adiala Road, Rawalpindi, Punjab",5Marla Beautiful Double Story corner House For Sale At Adiala Road 3 Bedroom 3 Bathroom Open Kitchen TV Longe Drawing Room Big Car Porch Big Mumty Water Price Is almost final,Rawalpindi Houses,,,,,,,,1.14, 5 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined
21,51990022,Rawalpindi,4 Marla Single Story House For Sale At Adiala Road,"Adiala Road, Rawalpindi, Punjab",4 Marla Single Story House For Sale At Adiala Road 2 Bedroom Room 2 Bathroom Drawing Room Open Kitchen TV Longe Car Porch Mumty Water Boring Price Is almost final,Rawalpindi Houses,,,,,,,,0.7, 4 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined
22,48279907,Rawalpindi,3.5 Marla Single Storey Corner House For Sale On Adiala Road Near Janjua Town,"Adiala Road, Rawalpindi, Punjab",3.5 Marla Single Storey Corner House For Sale2 Bed Room2 Bath RoomOpen KitchenTV LoungeDrawing RoomCar PorchWater BoringSui Gas In StreetVery Near To Main Adiala Road,Rawalpindi Houses,2024.0,,3.0,3.0,1.0,2.0,1.0,0.62, 3.5 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New
23,48538345,Rawalpindi,5 Marla House House For Sale At Adiala Road Near Janjua Town,"Adiala Road, Rawalpindi, Punjab",5 Marla Double Story House For Sale at adiala road near janjua town 4 Bed Room 5 Bath Room 2 Kitchen Drawing Room TV loungeBig Car Porch WATER Boring Sui Gas A/A In the Street VERY Near to main adiala road,Rawalpindi Houses,,,,,,,,1.45, 5 Marla, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined
24,49516670,Rawalpindi,10 Marla 3572 Single Storey House For Sale At Gulshan Abbad,"Gulshan Abad, Rawalpindi, Punjab","10 Marla Single Storey House For Sale At Gulshan Abbad3 Bedroom3 BathroomOpen KitchenTV LoungeDrawing RoomBig Car PorchWater BoringIdeal Location. Reasonable Price. Grab This Auspicious Opportunity To Execute Your Dreams Into Reality. It Is Sure To Be A Profitable Deal For Any Genuine Client. The Right Place To Invest Your Money. Interested Persons Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.",Rawalpindi Houses,2023.0,,5.0,6.0,2.0,3.0,2.0,1.28, 10 Marla, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New
25,49307119,Rawalpindi,1 Kanal Sunfacing Brand New Unique House For Sale In Bahria Town,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab","Located on 80 Feet wide road, front open , Direct access from Main Entrances, Sunfacing & unique Design from entrance to rooftop. stratigically located, with walking distance to all amenities. We deal exclusively in Bahria Town only, with having the prestige of over a decade of experience. We are authorised Realtors/ Builders and deal in sale/purchase/rent of residential and commercial properties. We offer construction and renovation on demand ( References of handovered projects can be shared with eligible clients)For further info don't hesitate to contact usTahir Real Estate &BuildersReal Estate Consultants - Builders-",Rawalpindi Houses,,,,,,,,9.25, 1 Kanal, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined
26,52002409,Rawalpindi,1.7 Kanal Corner Extraordinary Villa for sale in Bahria Town Phase 3,"Bahria Town Phase 3, Bahria Town Rawalpindi, Rawalpindi, Punjab","34Marla, 1.7kanal, 80Ft Front, This house looks and feels like 2 Kanal in every aspect from its 6 Cars Parking area to its 6 Master size bedrooms, extra spacious Lounge lobby and terraces, Much more can be said about this property. If you are looking for 2 Kanal houses at a reasonable price tag or Kanal house with much more this is your best option. We deal exclusively in Bahria Town only, with having the prestige of over a decade of experience. We are authorised Realtors/ Builders and deal in sale/purchase/rent of residential and commercial properties. We offer construction and renovation on demand. ( References of handovered projects can be shared with eligible clients)For further info don't hesitate to contact us Tahir Real Estate &BuildersReal Estate Consultants - Builders- Advisors",Rawalpindi Houses,,,,,,,,17.5, 1 Kanal, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined
27,52091401,Rawalpindi,Modern Designer House For Sale Triple Highted,"Bahria Town Phase 4, Bahria Town Rawalpindi, Rawalpindi, Punjab",Modern Designer Kanal House For SaleCompletion Year 2025Solar Are Installed Triple Highted Sami Furnished Bahira Town Phase 4 Blouwerd Size 50X907 Master Ultra Modern Bedroom Modern Designer Kitchen8 Luxurious Washrooms Elgant Architecture Design Solid Land Solid Wood Works More Information Please Call,Rawalpindi Houses,2025.0, 4 ,7.0,8.0,1.0,3.0,1.0,14.4, 1 Kanal, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction
28,52094689,Rawalpindi,In Bahria Town Phase 8 - Block A House Sized 1 Kanal For Sale,"Bahria Town Phase 8 - Block A, Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","Newly Constructed HouseOur Brand New 1.4 Kanal House For SaleHouse# 51- Street # 2 - Sector A - Phase-8 - Bahria Town - IslamabadPrime Location2 Mins Walking Distance From Mosque5 Mins Walking Distance From Sector CommercialsSolid Land. Double Unit With 5 Bedroom, 6 Washrooms And 1 Recreational Room. 3 Kitchens With PantrySolar System InstalledSecurity Cameras + Security Alarm System InstalledSpacious Car Parking Space With Back Lawn And Gazeebo",Rawalpindi Houses,2024.0,,,,,,,8.5, 1 Kanal, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
29,51881632,Rawalpindi,Luxury House With Spacious Lawn At Reasonable Price,"Bahria Town Phase 8, Bahria Town Rawalpindi, Rawalpindi, Punjab","It's an End Corner House With Beautiful View of Lawn At its adjacent sideBuilt up is approximately around 11 marla and rest of the area is developed into a lawnNewly constructed at a very peaceful locationSolid construction and Beautiful FinishingExcellent Woodwork, Quality Fittings And Stylish kitchensThis house features 5 Bedrooms6 Bathrooms1 Drawing room2 Kitchens2 Living rooms1 Store room1 Servant room with attached bathParking space for 3 cars. For more options and visit please contact us. Bahria Town your lifestyle destinationONYX HOMES REALTORS & BUILDERSALSO PROVIDING CONSTRUCTION & INTERIOR SERVICES",Rawalpindi Houses,2024.0,,5.0,6.0,1.0,2.0,1.0,4.3, 18 Marla, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New
