City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,681.0,32.0,0.0,0.0,0.7
2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1361.0,40.0,0.0,1.0,1.05
2.0,1.0,5.0,6.0,1.0,2.0,2.0,0.0,1361.0,77.0,0.0,1.0,1.2
2.0,2.0,6.0,5.0,1.0,3.0,1.0,3.0,2722.0,98.0,0.0,1.0,2.35
2.0,2.0,4.0,4.0,0.0,2.0,2.0,0.0,1361.0,11.0,0.0,1.0,2.0
2.0,3.0,4.0,6.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,4.95
2.0,4.0,8.0,6.0,1.0,3.0,1.0,0.0,2722.0,98.0,0.0,1.0,3.2
2.0,3.0,5.0,6.0,1.0,3.0,1.0,3.0,5445.0,34.0,0.0,1.0,18.0
2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,2722.0,40.0,0.0,1.0,2.7
2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,817.0,163.0,0.0,1.0,0.88
2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3267.0,16.0,0.0,1.0,6.4
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,4.5
2.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,1906.0,40.0,0.0,1.0,3.15
2.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1906.0,157.0,0.0,1.0,5.75
2.0,4.0,5.0,7.0,1.0,3.0,2.0,5.0,5445.0,22.0,0.0,1.0,15.0
2.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,5445.0,100.0,0.0,1.0,3.85
2.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,4.65
2.0,2.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,38.0,0.0,1.0,4.3
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,40.0,0.0,1.0,3.6
2.0,1.0,5.0,7.0,1.0,2.0,0.0,3.0,1906.0,40.0,0.0,1.0,2.2
2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1361.0,40.0,0.0,1.0,1.95
2.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,1361.0,40.0,0.0,1.0,1.85
2.0,1.0,4.0,4.0,0.0,2.0,0.0,3.0,1361.0,146.0,0.0,1.0,1.5
2.0,1.0,3.0,4.0,0.0,2.0,0.0,3.0,1634.0,163.0,0.0,1.0,1.55
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,33.0,0.0,1.0,6.25
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,34.0,0.0,1.0,5.5
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,35.0,0.0,1.0,5.15
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,34.0,0.0,1.0,10.5
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,35.0,0.0,1.0,13.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2722.0,16.0,0.0,1.0,6.0
2.0,3.0,4.0,6.0,1.0,1.0,1.0,0.0,6534.0,16.0,0.0,1.0,3.0
2.0,2.0,4.0,6.0,1.0,2.0,1.0,3.0,2722.0,39.0,0.0,1.0,3.95
2.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,1906.0,40.0,0.0,1.0,2.8
2.0,2.0,5.0,5.0,1.0,2.0,2.0,3.0,1906.0,40.0,0.0,1.0,2.75
2.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,1361.0,107.0,0.0,1.0,1.47
2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1361.0,40.0,0.0,1.0,2.25
2.0,2.0,5.0,5.0,1.0,2.0,1.0,4.0,1361.0,40.0,0.0,1.0,2.25
