Unnamed: 0,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type,area_room_ratio
112,51672453,Rawalpindi,1.0,5.0,6.0,1.0,2.0,1.0,3.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,14144.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,544.4
113,51950125,Rawalpindi,1.0,2.0,2.0,0.0,1.0,0.0,0.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1443.0,5544.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Flats,721.5
114,51077336,Rawalpindi,1.0,3.0,4.0,1.0,1.0,1.0,1.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2178.0,8494.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,726.0
118,52017842,Rawalpindi,1.0,8.0,10.0,1.0,3.0,1.0,2.45, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12854.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,238.25
119,52034096,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,4.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,17450.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,544.4
120,52018174,Rawalpindi,1.0,8.0,10.0,1.0,3.0,1.0,2.45, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12854.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,238.25
121,52002062,Rawalpindi,1.0,4.0,2.0,1.0,1.0,1.0,4.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,2722.0,15797.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,680.5
125,51551755,Rawalpindi,1.0,3.0,3.0,1.0,1.0,1.0,2.45, For Sale,"Askari 14, Rawalpindi, Punjab, ",Undefined,2722.0,9001.0,Askari 14,Punjab,Askari 14,Houses,907.3333333333334
126,52102284,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2450.0,17347.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,490.0
127,52098298,Rawalpindi,1.0,3.0,4.0,1.0,1.0,0.0,2.7, For Sale,Punjab Government Servant Housing Foundation,Relatively New,2722.0,9919.0,Punjab Government Servant Housing Foundation (PGSHF),Punjab,Punjab Government Servant Housing Foundation,Houses,907.3333333333334
133,51591765,Rawalpindi,2.0,3.0,3.0,0.0,1.0,0.0,1.55, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,11389.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
134,51591265,Rawalpindi,2.0,3.0,3.0,1.0,1.0,1.0,2.1, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2178.0,9642.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,726.0
138,52018236,Rawalpindi,1.0,8.0,10.0,1.0,3.0,1.0,2.45, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12854.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,238.25
