House Number,City,House Type,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society
52049939,Lahore,Lahore Houses,,3.0,4.0,0.0,1.0,0.0,2.65, For Sale,"Allama Iqbal Town, Lahore, Punjab, ",Undefined,1361.0,19470.98,Al Ahmadlama Iqbal Town,Punjab,Allama Iqbal Town
49420369,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,3.0,1.0,8.15, For Sale,"DHA Defence, Lahore, Punjab, ",New Property,5445.0,14967.86,DHA Phase 6,Punjab,DHA Defence
50783513,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,2.0,6.75, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,12396.69,DHA Phase 7 ,Punjab,DHA Defence
50012106,Lahore,Lahore Houses,,4.0,5.0,1.0,3.0,3.0,2.3, For Sale,"Johar Town, Lahore, Punjab, ",New Property,1361.0,16899.34,Johar Town Phase 2,Punjab,Johar Town
49068747,Lahore,Lahore Houses,,4.0,4.0,0.0,0.0,0.0,8.5, For Sale,"OPF Housing Scheme, Lahore, Punjab, ",Undefined,5445.0,15610.65,OPF Housing Scheme,Punjab,OPF Housing Scheme
51946942,,,,1.0,1.0,0.0,1.0,1.0,0.7, For Sale,"Bahria Town, Lahore, Punjab, ",Relatively New,735.0,9523.81,Bahria Town ,Punjab,Bahria Town
52088157,Lahore,Lahore Houses,,,,,,,8.25, For Sale,"DHA Defence, Lahore, Punjab, ",Undefined,5990.0,13772.95,DHA Phase 6,Punjab,DHA Defence
51985976,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,3.3,,"Park View City, Lahore, Punjab, ",Relatively New,,,Park View City,Punjab,Park View City
51622418,Lahore,Lahore Houses,4.0,5.0,6.0,0.0,0.0,0.0,7.45, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,13682.28,DHA Phase 6 ,Punjab,DHA Defence
52114122,Lahore,Lahore Houses,2.0,3.0,4.0,1.0,2.0,1.0,2.75, For Sale,"DHA 11 Rahbar, Lahore, Punjab, ",Under Construction,1361.0,20205.73,DHA 11 Rahbar Phase 2,Punjab,DHA 11 Rahbar
